,ref,Str1,Str2,Ed,Ed_Matrix,comptime
39,1512140034.21,jobqz,sjj,5,"[[ 0.  1.  2.  3.]
 [ 1.  1.  1.  2.]
 [ 2.  2.  2.  2.]
 [ 3.  3.  3.  3.]
 [ 4.  4.  4.  4.]
 [ 5.  5.  5.  5.]]",0.00355505943298
40,1512140034.22,gklmz,ekcz,3,"[[ 0.  1.  2.  3.  4.]
 [ 1.  1.  2.  3.  4.]
 [ 2.  2.  1.  2.  3.]
 [ 3.  3.  2.  2.  3.]
 [ 4.  4.  3.  3.  3.]
 [ 5.  5.  4.  4.  3.]]",0.00335693359375
41,1512140034.22,qupvb,qaijl,4,"[[ 0.  1.  2.  3.  4.  5.]
 [ 1.  0.  1.  2.  3.  4.]
 [ 2.  1.  1.  2.  3.  4.]
 [ 3.  2.  2.  2.  3.  4.]
 [ 4.  3.  3.  3.  3.  4.]
 [ 5.  4.  4.  4.  4.  4.]]",0.00362014770508
42,1512140034.23,nkbxp,eoivox,6,"[[ 0.  1.  2.  3.  4.  5.  6.]
 [ 1.  1.  2.  3.  4.  5.  6.]
 [ 2.  2.  2.  3.  4.  5.  6.]
 [ 3.  3.  3.  3.  4.  5.  6.]
 [ 4.  4.  4.  4.  4.  5.  5.]
 [ 5.  5.  5.  5.  5.  5.  6.]]",0.00336694717407
43,1512140034.24,wssdq,chfkzdd,6,"[[ 0.  1.  2.  3.  4.  5.  6.  7.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.]
 [ 2.  2.  2.  3.  4.  5.  6.  7.]
 [ 3.  3.  3.  3.  4.  5.  6.  7.]
 [ 4.  4.  4.  4.  4.  5.  5.  6.]
 [ 5.  5.  5.  5.  5.  5.  6.  6.]]",0.00340104103088
44,1512140034.25,mqmfp,yyovleab,8,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 2.  2.  2.  3.  4.  5.  6.  7.  8.]
 [ 3.  3.  3.  3.  4.  5.  6.  7.  8.]
 [ 4.  4.  4.  4.  4.  5.  6.  7.  8.]
 [ 5.  5.  5.  5.  5.  5.  6.  7.  8.]]",0.00350403785706
45,1512140034.26,egmhi,jbgaxftch,8,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 2.  2.  2.  2.  3.  4.  5.  6.  7.  8.]
 [ 3.  3.  3.  3.  3.  4.  5.  6.  7.  8.]
 [ 4.  4.  4.  4.  4.  4.  5.  6.  7.  7.]
 [ 5.  5.  5.  5.  5.  5.  5.  6.  7.  8.]]",0.00338792800903
46,1512140034.27,xphvqs,d,6,"[[ 0.  1.]
 [ 1.  1.]
 [ 2.  2.]
 [ 3.  3.]
 [ 4.  4.]
 [ 5.  5.]
 [ 6.  6.]]",0.00566601753235
47,1512140034.28,utnbzg,ur,5,"[[ 0.  1.  2.]
 [ 1.  0.  1.]
 [ 2.  1.  1.]
 [ 3.  2.  2.]
 [ 4.  3.  3.]
 [ 5.  4.  4.]
 [ 6.  5.  5.]]",0.00597405433655
48,1512140034.3,qcvgai,cdf,5,"[[ 0.  1.  2.  3.]
 [ 1.  1.  2.  3.]
 [ 2.  1.  2.  3.]
 [ 3.  2.  2.  3.]
 [ 4.  3.  3.  3.]
 [ 5.  4.  4.  4.]
 [ 6.  5.  5.  5.]]",0.00470089912415
49,1512140034.31,iizzgm,yyoy,6,"[[ 0.  1.  2.  3.  4.]
 [ 1.  1.  2.  3.  4.]
 [ 2.  2.  2.  3.  4.]
 [ 3.  3.  3.  3.  4.]
 [ 4.  4.  4.  4.  4.]
 [ 5.  5.  5.  5.  5.]
 [ 6.  6.  6.  6.  6.]]",0.00340390205383
50,1512140034.31,worduf,iijrm,6,"[[ 0.  1.  2.  3.  4.  5.]
 [ 1.  1.  2.  3.  4.  5.]
 [ 2.  2.  2.  3.  4.  5.]
 [ 3.  3.  3.  3.  3.  4.]
 [ 4.  4.  4.  4.  4.  4.]
 [ 5.  5.  5.  5.  5.  5.]
 [ 6.  6.  6.  6.  6.  6.]]",0.00463795661926
51,1512140034.32,tcvdsf,ahnaid,6,"[[ 0.  1.  2.  3.  4.  5.  6.]
 [ 1.  1.  2.  3.  4.  5.  6.]
 [ 2.  2.  2.  3.  4.  5.  6.]
 [ 3.  3.  3.  3.  4.  5.  6.]
 [ 4.  4.  4.  4.  4.  5.  5.]
 [ 5.  5.  5.  5.  5.  5.  6.]
 [ 6.  6.  6.  6.  6.  6.  6.]]",0.00341200828552
52,1512140034.33,zxnjha,xmjyobc,6,"[[ 0.  1.  2.  3.  4.  5.  6.  7.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.]
 [ 2.  1.  2.  3.  4.  5.  6.  7.]
 [ 3.  2.  2.  3.  4.  5.  6.  7.]
 [ 4.  3.  3.  2.  3.  4.  5.  6.]
 [ 5.  4.  4.  3.  3.  4.  5.  6.]
 [ 6.  5.  5.  4.  4.  4.  5.  6.]]",0.00341892242432
53,1512140034.34,udilap,iushtidn,7,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 1.  1.  1.  2.  3.  4.  5.  6.  7.]
 [ 2.  2.  2.  2.  3.  4.  5.  5.  6.]
 [ 3.  2.  3.  3.  3.  4.  4.  5.  6.]
 [ 4.  3.  3.  4.  4.  4.  5.  5.  6.]
 [ 5.  4.  4.  4.  5.  5.  5.  6.  6.]
 [ 6.  5.  5.  5.  5.  6.  6.  6.  7.]]",0.00361084938049
54,1512140034.35,hcqzlc,itymgabjt,9,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 2.  2.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 3.  3.  3.  3.  4.  5.  6.  7.  8.  9.]
 [ 4.  4.  4.  4.  4.  5.  6.  7.  8.  9.]
 [ 5.  5.  5.  5.  5.  5.  6.  7.  8.  9.]
 [ 6.  6.  6.  6.  6.  6.  6.  7.  8.  9.]]",0.00349617004395
55,1512140034.36,igdmauc,g,6,"[[ 0.  1.]
 [ 1.  1.]
 [ 2.  1.]
 [ 3.  2.]
 [ 4.  3.]
 [ 5.  4.]
 [ 6.  5.]
 [ 7.  6.]]",0.00333690643311
56,1512140034.37,fvwngwq,fo,6,"[[ 0.  1.  2.]
 [ 1.  0.  1.]
 [ 2.  1.  1.]
 [ 3.  2.  2.]
 [ 4.  3.  3.]
 [ 5.  4.  4.]
 [ 6.  5.  5.]
 [ 7.  6.  6.]]",0.00366997718811
57,1512140034.38,ejkahio,ocl,7,"[[ 0.  1.  2.  3.]
 [ 1.  1.  2.  3.]
 [ 2.  2.  2.  3.]
 [ 3.  3.  3.  3.]
 [ 4.  4.  4.  4.]
 [ 5.  5.  5.  5.]
 [ 6.  6.  6.  6.]
 [ 7.  6.  7.  7.]]",0.00334906578064
58,1512140034.38,znecrgv,dzhb,7,"[[ 0.  1.  2.  3.  4.]
 [ 1.  1.  1.  2.  3.]
 [ 2.  2.  2.  2.  3.]
 [ 3.  3.  3.  3.  3.]
 [ 4.  4.  4.  4.  4.]
 [ 5.  5.  5.  5.  5.]
 [ 6.  6.  6.  6.  6.]
 [ 7.  7.  7.  7.  7.]]",0.00332188606262
59,1512140034.39,gcxnduk,prcpr,7,"[[ 0.  1.  2.  3.  4.  5.]
 [ 1.  1.  2.  3.  4.  5.]
 [ 2.  2.  2.  2.  3.  4.]
 [ 3.  3.  3.  3.  3.  4.]
 [ 4.  4.  4.  4.  4.  4.]
 [ 5.  5.  5.  5.  5.  5.]
 [ 6.  6.  6.  6.  6.  6.]
 [ 7.  7.  7.  7.  7.  7.]]",0.00333404541016
60,1512140034.4,ytafjeu,huiqzx,7,"[[ 0.  1.  2.  3.  4.  5.  6.]
 [ 1.  1.  2.  3.  4.  5.  6.]
 [ 2.  2.  2.  3.  4.  5.  6.]
 [ 3.  3.  3.  3.  4.  5.  6.]
 [ 4.  4.  4.  4.  4.  5.  6.]
 [ 5.  5.  5.  5.  5.  5.  6.]
 [ 6.  6.  6.  6.  6.  6.  6.]
 [ 7.  7.  6.  7.  7.  7.  7.]]",0.00338196754456
61,1512140034.41,jsxwzji,abjeddk,7,"[[ 0.  1.  2.  3.  4.  5.  6.  7.]
 [ 1.  1.  2.  2.  3.  4.  5.  6.]
 [ 2.  2.  2.  3.  3.  4.  5.  6.]
 [ 3.  3.  3.  3.  4.  4.  5.  6.]
 [ 4.  4.  4.  4.  4.  5.  5.  6.]
 [ 5.  5.  5.  5.  5.  5.  6.  6.]
 [ 6.  6.  6.  5.  6.  6.  6.  7.]
 [ 7.  7.  7.  6.  6.  7.  7.  7.]]",0.00335597991943
62,1512140034.42,unwzxql,wobmozjy,8,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 2.  2.  2.  3.  4.  5.  6.  7.  8.]
 [ 3.  2.  3.  3.  4.  5.  6.  7.  8.]
 [ 4.  3.  3.  4.  4.  5.  5.  6.  7.]
 [ 5.  4.  4.  4.  5.  5.  6.  6.  7.]
 [ 6.  5.  5.  5.  5.  6.  6.  7.  7.]
 [ 7.  6.  6.  6.  6.  6.  7.  7.  8.]]",0.00361490249634
63,1512140034.42,pmtdopg,hmkwulupv,7,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  7.  8.]
 [ 2.  2.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 3.  3.  2.  2.  3.  4.  5.  6.  7.  8.]
 [ 4.  4.  3.  3.  3.  4.  5.  6.  7.  8.]
 [ 5.  5.  4.  4.  4.  4.  5.  6.  7.  8.]
 [ 6.  6.  5.  5.  5.  5.  5.  6.  6.  7.]
 [ 7.  7.  6.  6.  6.  6.  6.  6.  7.  7.]]",0.00359201431274
64,1512140034.43,fleujokr,o,7,"[[ 0.  1.]
 [ 1.  1.]
 [ 2.  2.]
 [ 3.  3.]
 [ 4.  4.]
 [ 5.  5.]
 [ 6.  5.]
 [ 7.  6.]
 [ 8.  7.]]",0.00328803062439
65,1512140034.44,jemzepyk,fj,8,"[[ 0.  1.  2.]
 [ 1.  1.  1.]
 [ 2.  2.  2.]
 [ 3.  3.  3.]
 [ 4.  4.  4.]
 [ 5.  5.  5.]
 [ 6.  6.  6.]
 [ 7.  7.  7.]
 [ 8.  8.  8.]]",0.00342607498169
66,1512140034.45,lozjithy,fzo,7,"[[ 0.  1.  2.  3.]
 [ 1.  1.  2.  3.]
 [ 2.  2.  2.  2.]
 [ 3.  3.  2.  3.]
 [ 4.  4.  3.  3.]
 [ 5.  5.  4.  4.]
 [ 6.  6.  5.  5.]
 [ 7.  7.  6.  6.]
 [ 8.  8.  7.  7.]]",0.00355815887451
67,1512140034.46,sovcumxc,keju,7,"[[ 0.  1.  2.  3.  4.]
 [ 1.  1.  2.  3.  4.]
 [ 2.  2.  2.  3.  4.]
 [ 3.  3.  3.  3.  4.]
 [ 4.  4.  4.  4.  4.]
 [ 5.  5.  5.  5.  4.]
 [ 6.  6.  6.  6.  5.]
 [ 7.  7.  7.  7.  6.]
 [ 8.  8.  8.  8.  7.]]",0.00332403182983
68,1512140034.47,xjnkkcxy,nszsy,6,"[[ 0.  1.  2.  3.  4.  5.]
 [ 1.  1.  2.  3.  4.  5.]
 [ 2.  2.  2.  3.  4.  5.]
 [ 3.  2.  3.  3.  4.  5.]
 [ 4.  3.  3.  4.  4.  5.]
 [ 5.  4.  4.  4.  5.  5.]
 [ 6.  5.  5.  5.  5.  6.]
 [ 7.  6.  6.  6.  6.  6.]
 [ 8.  7.  7.  7.  7.  6.]]",0.00334286689758
69,1512140034.47,mcvhwjxh,kxgmbm,8,"[[ 0.  1.  2.  3.  4.  5.  6.]
 [ 1.  1.  2.  3.  3.  4.  5.]
 [ 2.  2.  2.  3.  4.  4.  5.]
 [ 3.  3.  3.  3.  4.  5.  5.]
 [ 4.  4.  4.  4.  4.  5.  6.]
 [ 5.  5.  5.  5.  5.  5.  6.]
 [ 6.  6.  6.  6.  6.  6.  6.]
 [ 7.  7.  6.  7.  7.  7.  7.]
 [ 8.  8.  7.  7.  8.  8.  8.]]",0.00346207618713
70,1512140034.48,tkemomrx,vghxqhy,8,"[[ 0.  1.  2.  3.  4.  5.  6.  7.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.]
 [ 2.  2.  2.  3.  4.  5.  6.  7.]
 [ 3.  3.  3.  3.  4.  5.  6.  7.]
 [ 4.  4.  4.  4.  4.  5.  6.  7.]
 [ 5.  5.  5.  5.  5.  5.  6.  7.]
 [ 6.  6.  6.  6.  6.  6.  6.  7.]
 [ 7.  7.  7.  7.  7.  7.  7.  7.]
 [ 8.  8.  8.  8.  7.  8.  8.  8.]]",0.00340390205383
71,1512140034.49,ofcgutvu,hntowbfw,8,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 1.  1.  2.  3.  3.  4.  5.  6.  7.]
 [ 2.  2.  2.  3.  4.  4.  5.  5.  6.]
 [ 3.  3.  3.  3.  4.  5.  5.  6.  6.]
 [ 4.  4.  4.  4.  4.  5.  6.  6.  7.]
 [ 5.  5.  5.  5.  5.  5.  6.  7.  7.]
 [ 6.  6.  6.  5.  6.  6.  6.  7.  8.]
 [ 7.  7.  7.  6.  6.  7.  7.  7.  8.]
 [ 8.  8.  8.  7.  7.  7.  8.  8.  8.]]",0.00341701507568
72,1512140034.5,mlubgbvh,gmjktpeaj,8,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 1.  1.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 2.  2.  2.  2.  3.  4.  5.  6.  7.  8.]
 [ 3.  3.  3.  3.  3.  4.  5.  6.  7.  8.]
 [ 4.  4.  4.  4.  4.  4.  5.  6.  7.  8.]
 [ 5.  4.  5.  5.  5.  5.  5.  6.  7.  8.]
 [ 6.  5.  5.  6.  6.  6.  6.  6.  7.  8.]
 [ 7.  6.  6.  6.  7.  7.  7.  7.  7.  8.]
 [ 8.  7.  7.  7.  7.  8.  8.  8.  8.  8.]]",0.00347208976746
73,1512140034.51,prmrkdapf,y,9,"[[ 0.  1.]
 [ 1.  1.]
 [ 2.  2.]
 [ 3.  3.]
 [ 4.  4.]
 [ 5.  5.]
 [ 6.  6.]
 [ 7.  7.]
 [ 8.  8.]
 [ 9.  9.]]",0.00334620475769
74,1512140034.52,zpwtcgume,sa,9,"[[ 0.  1.  2.]
 [ 1.  1.  2.]
 [ 2.  2.  2.]
 [ 3.  3.  3.]
 [ 4.  4.  4.]
 [ 5.  5.  5.]
 [ 6.  6.  6.]
 [ 7.  7.  7.]
 [ 8.  8.  8.]
 [ 9.  9.  9.]]",0.00331592559814
75,1512140034.52,amhmlgvjq,kcv,8,"[[ 0.  1.  2.  3.]
 [ 1.  1.  2.  3.]
 [ 2.  2.  2.  3.]
 [ 3.  3.  3.  3.]
 [ 4.  4.  4.  4.]
 [ 5.  5.  5.  5.]
 [ 6.  6.  6.  6.]
 [ 7.  7.  7.  6.]
 [ 8.  8.  8.  7.]
 [ 9.  9.  9.  8.]]",0.00336790084839
76,1512140034.53,ftvioxawz,ciaz,6,"[[ 0.  1.  2.  3.  4.]
 [ 1.  1.  2.  3.  4.]
 [ 2.  2.  2.  3.  4.]
 [ 3.  3.  3.  3.  4.]
 [ 4.  4.  3.  4.  4.]
 [ 5.  5.  4.  4.  5.]
 [ 6.  6.  5.  5.  5.]
 [ 7.  7.  6.  5.  6.]
 [ 8.  8.  7.  6.  6.]
 [ 9.  9.  8.  7.  6.]]",0.00337195396423
77,1512140034.54,ptcupcfkk,qdfpy,8,"[[ 0.  1.  2.  3.  4.  5.]
 [ 1.  1.  2.  3.  3.  4.]
 [ 2.  2.  2.  3.  4.  4.]
 [ 3.  3.  3.  3.  4.  5.]
 [ 4.  4.  4.  4.  4.  5.]
 [ 5.  5.  5.  5.  4.  5.]
 [ 6.  6.  6.  6.  5.  5.]
 [ 7.  7.  7.  6.  6.  6.]
 [ 8.  8.  8.  7.  7.  7.]
 [ 9.  9.  9.  8.  8.  8.]]",0.0034339427948
78,1512140034.55,nfqpmmelu,ercswp,9,"[[ 0.  1.  2.  3.  4.  5.  6.]
 [ 1.  1.  2.  3.  4.  5.  6.]
 [ 2.  2.  2.  3.  4.  5.  6.]
 [ 3.  3.  3.  3.  4.  5.  6.]
 [ 4.  4.  4.  4.  4.  5.  5.]
 [ 5.  5.  5.  5.  5.  5.  6.]
 [ 6.  6.  6.  6.  6.  6.  6.]
 [ 7.  6.  7.  7.  7.  7.  7.]
 [ 8.  7.  7.  8.  8.  8.  8.]
 [ 9.  8.  8.  8.  9.  9.  9.]]",0.00345516204834
79,1512140034.56,iupllbeti,umojdzh,8,"[[ 0.  1.  2.  3.  4.  5.  6.  7.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.]
 [ 2.  1.  2.  3.  4.  5.  6.  7.]
 [ 3.  2.  2.  3.  4.  5.  6.  7.]
 [ 4.  3.  3.  3.  4.  5.  6.  7.]
 [ 5.  4.  4.  4.  4.  5.  6.  7.]
 [ 6.  5.  5.  5.  5.  5.  6.  7.]
 [ 7.  6.  6.  6.  6.  6.  6.  7.]
 [ 8.  7.  7.  7.  7.  7.  7.  7.]
 [ 9.  8.  8.  8.  8.  8.  8.  8.]]",0.00366902351379
80,1512140034.57,dimsgqqot,bsymytlm,9,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 2.  2.  2.  3.  4.  5.  6.  7.  8.]
 [ 3.  3.  3.  3.  3.  4.  5.  6.  7.]
 [ 4.  4.  3.  4.  4.  4.  5.  6.  7.]
 [ 5.  5.  4.  4.  5.  5.  5.  6.  7.]
 [ 6.  6.  5.  5.  5.  6.  6.  6.  7.]
 [ 7.  7.  6.  6.  6.  6.  7.  7.  7.]
 [ 8.  8.  7.  7.  7.  7.  7.  8.  8.]
 [ 9.  9.  8.  8.  8.  8.  7.  8.  9.]]",0.00344181060791
81,1512140034.57,upmbpkges,knkgngafr,9,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 2.  2.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 3.  3.  3.  3.  4.  5.  6.  7.  8.  9.]
 [ 4.  4.  4.  4.  4.  5.  6.  7.  8.  9.]
 [ 5.  5.  5.  5.  5.  5.  6.  7.  8.  9.]
 [ 6.  5.  6.  5.  6.  6.  6.  7.  8.  9.]
 [ 7.  6.  6.  6.  5.  6.  6.  7.  8.  9.]
 [ 8.  7.  7.  7.  6.  6.  7.  7.  8.  9.]
 [ 9.  8.  8.  8.  7.  7.  7.  8.  8.  9.]]",0.0035560131073
