,ref,Str1,Str2,Ed,Ed_Matrix,comptime
46,1513012899.7,faqze,fxtwzb,4,"[[ 0.  1.  2.  3.  4.  5.  6.]
 [ 1.  0.  1.  2.  3.  4.  5.]
 [ 2.  1.  1.  2.  3.  4.  5.]
 [ 3.  2.  2.  2.  3.  4.  5.]
 [ 4.  3.  3.  3.  3.  3.  4.]
 [ 5.  4.  4.  4.  4.  4.  4.]]",0.00345396995544
47,1513012899.7,kdgqp,vipnruu,7,"[[ 0.  1.  2.  3.  4.  5.  6.  7.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.]
 [ 2.  2.  2.  3.  4.  5.  6.  7.]
 [ 3.  3.  3.  3.  4.  5.  6.  7.]
 [ 4.  4.  4.  4.  4.  5.  6.  7.]
 [ 5.  5.  5.  4.  5.  5.  6.  7.]]",0.00340414047241
48,1513012899.71,dglgd,ebgbfkbq,7,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 2.  2.  2.  2.  3.  4.  5.  6.  7.]
 [ 3.  3.  3.  3.  3.  4.  5.  6.  7.]
 [ 4.  4.  4.  3.  4.  4.  5.  6.  7.]
 [ 5.  5.  5.  4.  4.  5.  5.  6.  7.]]",0.00348305702209
49,1513012899.72,tuare,lcgjdxjgj,9,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 2.  2.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 3.  3.  3.  3.  4.  5.  6.  7.  8.  9.]
 [ 4.  4.  4.  4.  4.  5.  6.  7.  8.  9.]
 [ 5.  5.  5.  5.  5.  5.  6.  7.  8.  9.]]",0.00344586372375
50,1513012899.73,asplp,sjmogoskgs,9,"[[  0.   1.   2.   3.   4.   5.   6.   7.   8.   9.  10.]
 [  1.   1.   2.   3.   4.   5.   6.   7.   8.   9.  10.]
 [  2.   1.   2.   3.   4.   5.   6.   6.   7.   8.   9.]
 [  3.   2.   2.   3.   4.   5.   6.   7.   7.   8.   9.]
 [  4.   3.   3.   3.   4.   5.   6.   7.   8.   8.   9.]
 [  5.   4.   4.   4.   4.   5.   6.   7.   8.   9.   9.]]",0.00357484817505
51,1513012899.74,kbpkbc,f,6,"[[ 0.  1.]
 [ 1.  1.]
 [ 2.  2.]
 [ 3.  3.]
 [ 4.  4.]
 [ 5.  5.]
 [ 6.  6.]]",0.00337505340576
52,1513012899.75,crwulb,ev,6,"[[ 0.  1.  2.]
 [ 1.  1.  2.]
 [ 2.  2.  2.]
 [ 3.  3.  3.]
 [ 4.  4.  4.]
 [ 5.  5.  5.]
 [ 6.  6.  6.]]",0.00336003303528
53,1513012899.75,xtgbye,aix,6,"[[ 0.  1.  2.  3.]
 [ 1.  1.  2.  2.]
 [ 2.  2.  2.  3.]
 [ 3.  3.  3.  3.]
 [ 4.  4.  4.  4.]
 [ 5.  5.  5.  5.]
 [ 6.  6.  6.  6.]]",0.00341606140137
54,1513012899.76,hayppk,skdw,6,"[[ 0.  1.  2.  3.  4.]
 [ 1.  1.  2.  3.  4.]
 [ 2.  2.  2.  3.  4.]
 [ 3.  3.  3.  3.  4.]
 [ 4.  4.  4.  4.  4.]
 [ 5.  5.  5.  5.  5.]
 [ 6.  6.  5.  6.  6.]]",0.00360798835754
55,1513012899.77,wfrxdx,eutkr,6,"[[ 0.  1.  2.  3.  4.  5.]
 [ 1.  1.  2.  3.  4.  5.]
 [ 2.  2.  2.  3.  4.  5.]
 [ 3.  3.  3.  3.  4.  4.]
 [ 4.  4.  4.  4.  4.  5.]
 [ 5.  5.  5.  5.  5.  5.]
 [ 6.  6.  6.  6.  6.  6.]]",0.00347900390625
56,1513012899.78,lqpcfz,xikkiy,6,"[[ 0.  1.  2.  3.  4.  5.  6.]
 [ 1.  1.  2.  3.  4.  5.  6.]
 [ 2.  2.  2.  3.  4.  5.  6.]
 [ 3.  3.  3.  3.  4.  5.  6.]
 [ 4.  4.  4.  4.  4.  5.  6.]
 [ 5.  5.  5.  5.  5.  5.  6.]
 [ 6.  6.  6.  6.  6.  6.  6.]]",0.00344800949097
57,1513012899.79,tgqzwk,hsfafmo,7,"[[ 0.  1.  2.  3.  4.  5.  6.  7.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.]
 [ 2.  2.  2.  3.  4.  5.  6.  7.]
 [ 3.  3.  3.  3.  4.  5.  6.  7.]
 [ 4.  4.  4.  4.  4.  5.  6.  7.]
 [ 5.  5.  5.  5.  5.  5.  6.  7.]
 [ 6.  6.  6.  6.  6.  6.  6.  7.]]",0.00354480743408
58,1513012899.8,uvpfgc,pjmnxsnh,8,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 2.  2.  2.  3.  4.  5.  6.  7.  8.]
 [ 3.  2.  3.  3.  4.  5.  6.  7.  8.]
 [ 4.  3.  3.  4.  4.  5.  6.  7.  8.]
 [ 5.  4.  4.  4.  5.  5.  6.  7.  8.]
 [ 6.  5.  5.  5.  5.  6.  6.  7.  8.]]",0.00400400161743
59,1513012899.81,meurpy,bnlfylevc,9,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 2.  2.  2.  3.  4.  5.  6.  6.  7.  8.]
 [ 3.  3.  3.  3.  4.  5.  6.  7.  7.  8.]
 [ 4.  4.  4.  4.  4.  5.  6.  7.  8.  8.]
 [ 5.  5.  5.  5.  5.  5.  6.  7.  8.  9.]
 [ 6.  6.  6.  6.  6.  5.  6.  7.  8.  9.]]",0.00361490249634
60,1513012899.81,pmfweb,wkhlcscllf,10,"[[  0.   1.   2.   3.   4.   5.   6.   7.   8.   9.  10.]
 [  1.   1.   2.   3.   4.   5.   6.   7.   8.   9.  10.]
 [  2.   2.   2.   3.   4.   5.   6.   7.   8.   9.  10.]
 [  3.   3.   3.   3.   4.   5.   6.   7.   8.   9.   9.]
 [  4.   3.   4.   4.   4.   5.   6.   7.   8.   9.  10.]
 [  5.   4.   4.   5.   5.   5.   6.   7.   8.   9.  10.]
 [  6.   5.   5.   5.   6.   6.   6.   7.   8.   9.  10.]]",0.00349378585815
61,1513012899.82,azkitlg,q,7,"[[ 0.  1.]
 [ 1.  1.]
 [ 2.  2.]
 [ 3.  3.]
 [ 4.  4.]
 [ 5.  5.]
 [ 6.  6.]
 [ 7.  7.]]",0.00339102745056
62,1513012899.83,ukfrmhk,vi,7,"[[ 0.  1.  2.]
 [ 1.  1.  2.]
 [ 2.  2.  2.]
 [ 3.  3.  3.]
 [ 4.  4.  4.]
 [ 5.  5.  5.]
 [ 6.  6.  6.]
 [ 7.  7.  7.]]",0.00335717201233
63,1513012899.84,zffqtpk,yyp,6,"[[ 0.  1.  2.  3.]
 [ 1.  1.  2.  3.]
 [ 2.  2.  2.  3.]
 [ 3.  3.  3.  3.]
 [ 4.  4.  4.  4.]
 [ 5.  5.  5.  5.]
 [ 6.  6.  6.  5.]
 [ 7.  7.  7.  6.]]",0.00341296195984
64,1513012899.85,qfyyjpy,tfvc,6,"[[ 0.  1.  2.  3.  4.]
 [ 1.  1.  2.  3.  4.]
 [ 2.  2.  1.  2.  3.]
 [ 3.  3.  2.  2.  3.]
 [ 4.  4.  3.  3.  3.]
 [ 5.  5.  4.  4.  4.]
 [ 6.  6.  5.  5.  5.]
 [ 7.  7.  6.  6.  6.]]",0.0035400390625
65,1513012899.86,sqpacwg,pzcvd,5,"[[ 0.  1.  2.  3.  4.  5.]
 [ 1.  1.  2.  3.  4.  5.]
 [ 2.  2.  2.  3.  4.  5.]
 [ 3.  2.  3.  3.  4.  5.]
 [ 4.  3.  3.  4.  4.  5.]
 [ 5.  4.  4.  3.  4.  5.]
 [ 6.  5.  5.  4.  4.  5.]
 [ 7.  6.  6.  5.  5.  5.]]",0.00355505943298
66,1513012899.87,iqxcbym,pklwts,7,"[[ 0.  1.  2.  3.  4.  5.  6.]
 [ 1.  1.  2.  3.  4.  5.  6.]
 [ 2.  2.  2.  3.  4.  5.  6.]
 [ 3.  3.  3.  3.  4.  5.  6.]
 [ 4.  4.  4.  4.  4.  5.  6.]
 [ 5.  5.  5.  5.  5.  5.  6.]
 [ 6.  6.  6.  6.  6.  6.  6.]
 [ 7.  7.  7.  7.  7.  7.  7.]]",0.00341200828552
67,1513012899.87,wocgedr,rlxdwht,7,"[[ 0.  1.  2.  3.  4.  5.  6.  7.]
 [ 1.  1.  2.  3.  4.  4.  5.  6.]
 [ 2.  2.  2.  3.  4.  5.  5.  6.]
 [ 3.  3.  3.  3.  4.  5.  6.  6.]
 [ 4.  4.  4.  4.  4.  5.  6.  7.]
 [ 5.  5.  5.  5.  5.  5.  6.  7.]
 [ 6.  6.  6.  6.  5.  6.  6.  7.]
 [ 7.  6.  7.  7.  6.  6.  7.  7.]]",0.0036289691925
68,1513012899.88,dhdhpwi,vrjaexai,7,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 2.  2.  2.  3.  4.  5.  6.  7.  8.]
 [ 3.  3.  3.  3.  4.  5.  6.  7.  8.]
 [ 4.  4.  4.  4.  4.  5.  6.  7.  8.]
 [ 5.  5.  5.  5.  5.  5.  6.  7.  8.]
 [ 6.  6.  6.  6.  6.  6.  6.  7.  8.]
 [ 7.  7.  7.  7.  7.  7.  7.  7.  7.]]",0.00345301628113
69,1513012899.89,bmftvbg,ppqympvch,8,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 2.  2.  2.  3.  4.  4.  5.  6.  7.  8.]
 [ 3.  3.  3.  3.  4.  5.  5.  6.  7.  8.]
 [ 4.  4.  4.  4.  4.  5.  6.  6.  7.  8.]
 [ 5.  5.  5.  5.  5.  5.  6.  6.  7.  8.]
 [ 6.  6.  6.  6.  6.  6.  6.  7.  7.  8.]
 [ 7.  7.  7.  7.  7.  7.  7.  7.  8.  8.]]",0.00353908538818
70,1513012899.9,gbwxxep,kxqpoabxpe,9,"[[  0.   1.   2.   3.   4.   5.   6.   7.   8.   9.  10.]
 [  1.   1.   2.   3.   4.   5.   6.   7.   8.   9.  10.]
 [  2.   2.   2.   3.   4.   5.   6.   6.   7.   8.   9.]
 [  3.   3.   3.   3.   4.   5.   6.   7.   7.   8.   9.]
 [  4.   4.   3.   4.   4.   5.   6.   7.   7.   8.   9.]
 [  5.   5.   4.   4.   5.   5.   6.   7.   7.   8.   9.]
 [  6.   6.   5.   5.   5.   6.   6.   7.   8.   8.   8.]
 [  7.   7.   6.   6.   5.   6.   7.   7.   8.   8.   9.]]",0.00349593162537
71,1513012899.91,bjahvvwa,x,8,"[[ 0.  1.]
 [ 1.  1.]
 [ 2.  2.]
 [ 3.  3.]
 [ 4.  4.]
 [ 5.  5.]
 [ 6.  6.]
 [ 7.  7.]
 [ 8.  8.]]",0.00347018241882
72,1513012899.92,hyrrnnnt,ix,8,"[[ 0.  1.  2.]
 [ 1.  1.  2.]
 [ 2.  2.  2.]
 [ 3.  3.  3.]
 [ 4.  4.  4.]
 [ 5.  5.  5.]
 [ 6.  6.  6.]
 [ 7.  7.  7.]
 [ 8.  8.  8.]]",0.00338196754456
73,1513012899.93,hlosfjkg,ktk,7,"[[ 0.  1.  2.  3.]
 [ 1.  1.  2.  3.]
 [ 2.  2.  2.  3.]
 [ 3.  3.  3.  3.]
 [ 4.  4.  4.  4.]
 [ 5.  5.  5.  5.]
 [ 6.  6.  6.  6.]
 [ 7.  6.  7.  6.]
 [ 8.  7.  7.  7.]]",0.00351810455322
74,1513012899.93,ofvmgzal,noif,8,"[[ 0.  1.  2.  3.  4.]
 [ 1.  1.  1.  2.  3.]
 [ 2.  2.  2.  2.  2.]
 [ 3.  3.  3.  3.  3.]
 [ 4.  4.  4.  4.  4.]
 [ 5.  5.  5.  5.  5.]
 [ 6.  6.  6.  6.  6.]
 [ 7.  7.  7.  7.  7.]
 [ 8.  8.  8.  8.  8.]]",0.00355291366577
75,1513012899.94,rlabotpp,gyzhy,8,"[[ 0.  1.  2.  3.  4.  5.]
 [ 1.  1.  2.  3.  4.  5.]
 [ 2.  2.  2.  3.  4.  5.]
 [ 3.  3.  3.  3.  4.  5.]
 [ 4.  4.  4.  4.  4.  5.]
 [ 5.  5.  5.  5.  5.  5.]
 [ 6.  6.  6.  6.  6.  6.]
 [ 7.  7.  7.  7.  7.  7.]
 [ 8.  8.  8.  8.  8.  8.]]",0.00352907180786
76,1513012899.95,aqfeeesq,eygams,7,"[[ 0.  1.  2.  3.  4.  5.  6.]
 [ 1.  1.  2.  3.  3.  4.  5.]
 [ 2.  2.  2.  3.  4.  4.  5.]
 [ 3.  3.  3.  3.  4.  5.  5.]
 [ 4.  3.  4.  4.  4.  5.  6.]
 [ 5.  4.  4.  5.  5.  5.  6.]
 [ 6.  5.  5.  5.  6.  6.  6.]
 [ 7.  6.  6.  6.  6.  7.  6.]
 [ 8.  7.  7.  7.  7.  7.  7.]]",0.00338411331177
77,1513012899.96,otspgbyp,zdgjhcn,8,"[[ 0.  1.  2.  3.  4.  5.  6.  7.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.]
 [ 2.  2.  2.  3.  4.  5.  6.  7.]
 [ 3.  3.  3.  3.  4.  5.  6.  7.]
 [ 4.  4.  4.  4.  4.  5.  6.  7.]
 [ 5.  5.  5.  4.  5.  5.  6.  7.]
 [ 6.  6.  6.  5.  5.  6.  6.  7.]
 [ 7.  7.  7.  6.  6.  6.  7.  7.]
 [ 8.  8.  8.  7.  7.  7.  7.  8.]]",0.00351095199585
78,1513012899.97,phqixdgt,brtirymy,7,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.]
 [ 2.  2.  2.  3.  4.  5.  6.  7.  8.]
 [ 3.  3.  3.  3.  4.  5.  6.  7.  8.]
 [ 4.  4.  4.  4.  3.  4.  5.  6.  7.]
 [ 5.  5.  5.  5.  4.  4.  5.  6.  7.]
 [ 6.  6.  6.  6.  5.  5.  5.  6.  7.]
 [ 7.  7.  7.  7.  6.  6.  6.  6.  7.]
 [ 8.  8.  8.  7.  7.  7.  7.  7.  7.]]",0.00344491004944
79,1513012899.98,hofbdeqi,uxbzuakef,9,"[[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 1.  1.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 2.  2.  2.  3.  4.  5.  6.  7.  8.  9.]
 [ 3.  3.  3.  3.  4.  5.  6.  7.  8.  8.]
 [ 4.  4.  4.  3.  4.  5.  6.  7.  8.  9.]
 [ 5.  5.  5.  4.  4.  5.  6.  7.  8.  9.]
 [ 6.  6.  6.  5.  5.  5.  6.  7.  7.  8.]
 [ 7.  7.  7.  6.  6.  6.  6.  7.  8.  8.]
 [ 8.  8.  8.  7.  7.  7.  7.  7.  8.  9.]]",0.00410985946655
80,1513012899.99,lexhechf,kshcomzzta,10,"[[  0.   1.   2.   3.   4.   5.   6.   7.   8.   9.  10.]
 [  1.   1.   2.   3.   4.   5.   6.   7.   8.   9.  10.]
 [  2.   2.   2.   3.   4.   5.   6.   7.   8.   9.  10.]
 [  3.   3.   3.   3.   4.   5.   6.   7.   8.   9.  10.]
 [  4.   4.   4.   3.   4.   5.   6.   7.   8.   9.  10.]
 [  5.   5.   5.   4.   4.   5.   6.   7.   8.   9.  10.]
 [  6.   6.   6.   5.   4.   5.   6.   7.   8.   9.  10.]
 [  7.   7.   7.   6.   5.   5.   6.   7.   8.   9.  10.]
 [  8.   8.   8.   7.   6.   6.   6.   7.   8.   9.  10.]]",0.00369000434875
81,1513012900.0,iwcrsecbc,n,9,"[[ 0.  1.]
 [ 1.  1.]
 [ 2.  2.]
 [ 3.  3.]
 [ 4.  4.]
 [ 5.  5.]
 [ 6.  6.]
 [ 7.  7.]
 [ 8.  8.]
 [ 9.  9.]]",0.00337886810303
82,1513012900.0,kbnxnotqj,wi,9,"[[ 0.  1.  2.]
 [ 1.  1.  2.]
 [ 2.  2.  2.]
 [ 3.  3.  3.]
 [ 4.  4.  4.]
 [ 5.  5.  5.]
 [ 6.  6.  6.]
 [ 7.  7.  7.]
 [ 8.  8.  8.]
 [ 9.  9.  9.]]",0.00336408615112
83,1513012900.01,ubpgtaxkv,wok,8,"[[ 0.  1.  2.  3.]
 [ 1.  1.  2.  3.]
 [ 2.  2.  2.  3.]
 [ 3.  3.  3.  3.]
 [ 4.  4.  4.  4.]
 [ 5.  5.  5.  5.]
 [ 6.  6.  6.  6.]
 [ 7.  7.  7.  7.]
 [ 8.  8.  8.  7.]
 [ 9.  9.  9.  8.]]",0.00345396995544
